,month,actor_num,contributor_num,open_issue,issue_comment,open_pull,pr_review,merge_pull,activity
0,20151,123,4,118,356,6,0,5,620
1,20152,72,2,73,144,3,0,2,303
2,20153,124,1,128,189,4,4,1,475
3,20154,81,2,58,71,8,13,3,269
4,20155,110,2,87,155,11,0,9,380
5,20156,117,1,147,234,5,0,2,547
6,20157,124,1,116,254,3,0,1,497
7,20158,104,0,102,210,7,0,0,435
8,20159,89,0,77,227,7,0,0,402
9,201510,88,0,85,172,0,0,0,342
10,201511,71,0,60,74,0,0,0,194
11,201512,108,0,103,216,1,0,0,425
12,20161,206,1,227,363,3,0,1,828
13,20162,123,1,138,321,3,0,1,608
14,20163,179,1,230,391,3,0,1,862
15,20164,183,0,187,337,1,0,0,714
16,20165,190,0,193,352,4,0,0,750
17,20166,196,1,208,514,2,0,1,938
18,20167,203,2,206,426,6,0,2,860
19,20168,213,0,226,374,1,0,0,829
20,20169,198,0,194,336,4,0,0,736
21,201610,179,1,183,285,4,0,1,665
22,201611,254,2,230,464,4,0,2,940
23,201612,231,0,229,413,0,0,0,871
24,20171,187,3,170,331,2,0,3,683
25,20172,167,0,149,328,0,0,0,626
26,20173,277,3,248,435,6,0,3,955
27,20174,232,1,206,500,2,0,1,920
28,20175,264,1,256,416,1,0,1,933
29,20176,276,1,216,414,1,0,1,851
30,20177,260,2,219,474,5,0,2,931
31,20178,287,0,231,395,5,0,0,872
32,20179,274,2,217,556,5,0,2,1009
33,201710,194,5,132,234,6,0,5,526
34,201711,372,6,220,641,7,0,6,1114
35,201712,283,4,234,380,7,0,6,881
36,20182,197,0,141,280,1,0,0,565
37,20183,303,4,221,383,7,2,5,864
38,20184,241,1,168,242,1,0,1,583
39,20185,243,0,164,295,1,2,0,634
40,20186,231,0,163,231,4,1,0,573
41,20187,222,0,142,164,6,0,0,466
42,20188,258,0,183,456,3,1,0,835
43,20189,208,2,141,448,5,5,2,769
44,201810,218,6,127,432,8,26,6,826
45,201811,250,3,142,488,11,9,4,849
46,201812,222,0,122,388,5,1,0,651
47,20191,254,6,175,429,12,5,11,857
48,20192,187,8,108,378,27,5,22,739
49,20193,212,5,152,478,17,28,15,975
50,20194,232,3,181,588,16,11,7,1056
51,20195,256,6,178,676,24,13,17,1190
52,20196,221,4,161,618,23,13,11,1083
53,20197,226,4,158,600,5,2,4,947
54,20198,244,7,179,579,23,1,18,1046
55,20199,197,8,148,558,54,28,43,1214
56,201910,210,13,129,483,44,43,36,1117
57,201911,239,11,162,649,46,53,36,1395
58,201912,231,8,175,536,36,24,26,1142
59,20201,201,12,130,509,29,41,25,1070
60,20202,124,7,73,302,17,6,12,547
61,20203,201,7,129,473,19,11,10,852
62,20204,221,9,156,1680,31,21,23,2215
63,20205,205,5,155,627,22,22,8,1107
64,20206,197,6,121,642,25,82,16,1319
65,20207,216,10,158,662,35,63,33,1401
66,20208,196,11,119,556,22,26,28,1020
67,20209,223,8,138,520,30,9,14,950
68,202010,177,9,117,479,23,42,21,992
69,202011,185,5,157,542,47,1,42,1085
70,202012,233,6,169,664,26,22,15,1198
71,20211,241,9,198,638,37,13,35,1267
72,20212,215,9,183,606,27,33,13,1211
73,20213,212,10,169,621,18,23,15,1135
74,20214,250,10,231,876,51,18,46,1655
75,20215,204,10,164,558,28,42,26,1190
76,20216,226,9,183,645,24,49,17,1313
77,20217,211,12,145,554,36,79,36,1340
78,20218,204,7,151,527,17,25,10,1000
79,20219,219,8,157,1340,29,43,30,1973
80,202110,82,0,46,216,0,0,0,308
81,202111,204,5,143,820,20,20,13,1272
